Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
NGA,1991-01-01,1991-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,1742.700000,I
NGA,1992-01-01,1992-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,2553.100000,I
NGA,1993-01-01,1993-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,4031.100000,I
NGA,1994-01-01,1994-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,6917.600000,I
NGA,1995-01-01,1995-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,10360.800000,I
NGA,1996-01-01,1996-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,12082.400000,I
NGA,1997-01-01,1997-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,14709.700000,I
NGA,1998-01-01,1998-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,15174.200000,I
NGA,1999-01-01,1999-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,16521.100000,I
NGA,2000-01-01,2000-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,17367.000000,I
NGA,2001-01-01,2001-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,23071.700000,I
NGA,2002-01-01,2002-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,26936.500000,I
NGA,2003-01-01,2003-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,24176.500000,I
NGA,2004-01-01,2004-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,27842.200000,I
NGA,2005-01-01,2005-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,33717.500000,I
NGA,2006-01-01,2006-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,36954.600000,I
NGA,2007-01-01,2007-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,35019.800000,I
NGA,2008-01-01,2008-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,36586.400000,I
NGA,2009-01-01,2009-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,19551.300000,I
NGA,2010-01-01,2010-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,57000.000000,A
NGA,2011-01-01,2011-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,65700.000000,A
NGA,2012-01-01,2012-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,66700.000000,A
NGA,2013-01-01,2013-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,69300.000000,A
NGA,2014-01-01,2014-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,70655.200000,I
NGA,2015-01-01,2015-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2015,2015,7021,Annual value,LCU,59495.800000,I
NGA,2016-01-01,2016-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2016,2016,7021,Annual value,LCU,48889.500000,I
NGA,2017-01-01,2017-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2017,2017,7021,Annual value,LCU,43599.600000,I
NGA,2018-01-01,2018-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2018,2018,7021,Annual value,LCU,45903.300000,I
NGA,2019-01-01,2019-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2019,2019,7021,Annual value,LCU,53928.800000,I
NGA,2020-01-01,2020-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2020,2020,7021,Annual value,LCU,53516.800000,I
NGA,2021-01-01,2021-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,52739.300000,I
NGA,2022-01-01,2022-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2022,2022,7021,Annual value,LCU,57703.700000,I
NGA,2023-01-01,2023-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2023,2023,7021,Annual value,LCU,64023.800000,I
NGA,1991-01-01,1991-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),1991,1991,7021,Annual value,SLC,1742.700000,I
NGA,1992-01-01,1992-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),1992,1992,7021,Annual value,SLC,2553.100000,I
NGA,1993-01-01,1993-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),1993,1993,7021,Annual value,SLC,4031.100000,I
NGA,1994-01-01,1994-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),1994,1994,7021,Annual value,SLC,6917.600000,I
NGA,1995-01-01,1995-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),1995,1995,7021,Annual value,SLC,10360.800000,I
NGA,1996-01-01,1996-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),1996,1996,7021,Annual value,SLC,12082.400000,I
NGA,1997-01-01,1997-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),1997,1997,7021,Annual value,SLC,14709.700000,I
NGA,1998-01-01,1998-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),1998,1998,7021,Annual value,SLC,15174.200000,I
NGA,1999-01-01,1999-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),1999,1999,7021,Annual value,SLC,16521.100000,I
NGA,2000-01-01,2000-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2000,2000,7021,Annual value,SLC,17367.000000,I
NGA,2001-01-01,2001-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2001,2001,7021,Annual value,SLC,23071.700000,I
NGA,2002-01-01,2002-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2002,2002,7021,Annual value,SLC,26936.500000,I
NGA,2003-01-01,2003-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2003,2003,7021,Annual value,SLC,24176.500000,I
NGA,2004-01-01,2004-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2004,2004,7021,Annual value,SLC,27842.200000,I
NGA,2005-01-01,2005-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2005,2005,7021,Annual value,SLC,33717.500000,I
NGA,2006-01-01,2006-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2006,2006,7021,Annual value,SLC,36954.600000,I
NGA,2007-01-01,2007-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2007,2007,7021,Annual value,SLC,35019.800000,I
NGA,2008-01-01,2008-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2008,2008,7021,Annual value,SLC,36586.400000,I
NGA,2009-01-01,2009-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2009,2009,7021,Annual value,SLC,19551.300000,I
NGA,2010-01-01,2010-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2010,2010,7021,Annual value,SLC,57000.000000,A
NGA,2011-01-01,2011-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2011,2011,7021,Annual value,SLC,65700.000000,A
NGA,2012-01-01,2012-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2012,2012,7021,Annual value,SLC,66700.000000,A
NGA,2013-01-01,2013-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2013,2013,7021,Annual value,SLC,69300.000000,A
NGA,2014-01-01,2014-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2014,2014,7021,Annual value,SLC,70655.200000,I
NGA,2015-01-01,2015-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2015,2015,7021,Annual value,SLC,59495.800000,I
NGA,2016-01-01,2016-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2016,2016,7021,Annual value,SLC,48889.500000,I
NGA,2017-01-01,2017-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2017,2017,7021,Annual value,SLC,43599.600000,I
NGA,2018-01-01,2018-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2018,2018,7021,Annual value,SLC,45903.300000,I
NGA,2019-01-01,2019-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2019,2019,7021,Annual value,SLC,53928.800000,I
NGA,2020-01-01,2020-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2020,2020,7021,Annual value,SLC,53516.800000,I
NGA,2021-01-01,2021-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2021,2021,7021,Annual value,SLC,52739.300000,I
NGA,2022-01-01,2022-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2022,2022,7021,Annual value,SLC,57703.700000,I
NGA,2023-01-01,2023-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2023,2023,7021,Annual value,SLC,64023.800000,I
NGA,2024-01-01,2024-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2024,2024,7021,Annual value,SLC,70343.900000,F
NGA,1991-01-01,1991-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),1991,1991,7021,Annual value,USD,175.900000,I
NGA,1992-01-01,1992-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),1992,1992,7021,Annual value,USD,147.600000,I
NGA,1993-01-01,1993-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),1993,1993,7021,Annual value,USD,182.700000,I
NGA,1994-01-01,1994-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),1994,1994,7021,Annual value,USD,193.600000,I
NGA,1995-01-01,1995-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),1995,1995,7021,Annual value,USD,168.800000,I
NGA,1996-01-01,1996-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),1996,1996,7021,Annual value,USD,158.500000,I
NGA,1997-01-01,1997-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),1997,1997,7021,Annual value,USD,186.800000,I
NGA,1998-01-01,1998-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),1998,1998,7021,Annual value,USD,183.800000,I
NGA,1999-01-01,1999-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),1999,1999,7021,Annual value,USD,178.900000,I
NGA,2000-01-01,2000-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2000,2000,7021,Annual value,USD,170.800000,I
NGA,2001-01-01,2001-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2001,2001,7021,Annual value,USD,207.400000,I
NGA,2002-01-01,2002-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2002,2002,7021,Annual value,USD,223.400000,I
NGA,2003-01-01,2003-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2003,2003,7021,Annual value,USD,187.100000,I
NGA,2004-01-01,2004-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2004,2004,7021,Annual value,USD,209.500000,I
NGA,2005-01-01,2005-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2005,2005,7021,Annual value,USD,256.800000,I
NGA,2006-01-01,2006-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2006,2006,7021,Annual value,USD,287.200000,I
NGA,2007-01-01,2007-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2007,2007,7021,Annual value,USD,278.400000,I
NGA,2008-01-01,2008-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2008,2008,7021,Annual value,USD,308.600000,I
NGA,2009-01-01,2009-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2009,2009,7021,Annual value,USD,131.300000,I
NGA,2010-01-01,2010-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2010,2010,7021,Annual value,USD,379.200000,A
NGA,2011-01-01,2011-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2011,2011,7021,Annual value,USD,427.000000,A
NGA,2012-01-01,2012-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,423.500000,A
NGA,2013-01-01,2013-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,440.500000,A
NGA,2014-01-01,2014-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,445.600000,I
NGA,2015-01-01,2015-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,309.200000,I
NGA,2016-01-01,2016-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,192.900000,I
NGA,2017-01-01,2017-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,142.600000,I
NGA,2018-01-01,2018-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,150.000000,I
NGA,2019-01-01,2019-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2019,2019,7021,Annual value,USD,175.700000,I
NGA,2020-01-01,2020-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2020,2020,7021,Annual value,USD,149.200000,I
NGA,2021-01-01,2021-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2021,2021,7021,Annual value,USD,129.100000,I
NGA,2022-01-01,2022-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2022,2022,7021,Annual value,USD,135.500000,I
NGA,2023-01-01,2023-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2023,2023,7021,Annual value,USD,99.700000,I
NGA,1991-01-01,1991-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,2.920000,I
NGA,1992-01-01,1992-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,4.280000,I
NGA,1993-01-01,1993-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,6.750000,I
NGA,1994-01-01,1994-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,11.590000,I
NGA,1995-01-01,1995-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,17.360000,I
NGA,1996-01-01,1996-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,20.250000,I
NGA,1997-01-01,1997-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,24.650000,I
NGA,1998-01-01,1998-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,25.430000,I
NGA,1999-01-01,1999-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,27.680000,I
NGA,2000-01-01,2000-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,29.100000,I
NGA,2001-01-01,2001-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,38.660000,I
NGA,2002-01-01,2002-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,45.130000,I
NGA,2003-01-01,2003-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,40.510000,I
NGA,2004-01-01,2004-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,46.650000,I
NGA,2005-01-01,2005-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,56.500000,I
NGA,2006-01-01,2006-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,61.920000,I
NGA,2007-01-01,2007-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,58.680000,I
NGA,2008-01-01,2008-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,61.300000,I
NGA,2009-01-01,2009-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,32.760000,I
NGA,2010-01-01,2010-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,95.510000,I
NGA,2011-01-01,2011-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,110.090000,I
NGA,2012-01-01,2012-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,111.760000,I
NGA,2013-01-01,2013-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,116.120000,I
NGA,2014-01-01,2014-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,118.390000,I
NGA,2015-01-01,2015-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,99.690000,I
NGA,2016-01-01,2016-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,81.920000,I
NGA,2017-01-01,2017-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,73.060000,I
NGA,2018-01-01,2018-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,76.920000,I
NGA,2019-01-01,2019-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,90.360000,I
NGA,2020-01-01,2020-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2020,2020,7021,Annual value,,89.670000,I
NGA,2021-01-01,2021-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2021,2021,7021,Annual value,,88.370000,I
NGA,2022-01-01,2022-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2022,2022,7021,Annual value,,96.690000,I
NGA,2023-01-01,2023-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2023,2023,7021,Annual value,,107.280000,I
NGA,2024-01-01,2024-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),2024,2024,7021,Annual value,,117.870000,I
NGA,1991-01-01,1991-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,7021.100000,I
NGA,1992-01-01,1992-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,7952.300000,I
NGA,1993-01-01,1993-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,15768.600000,I
NGA,1994-01-01,1994-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,15122.900000,I
NGA,1995-01-01,1995-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,22463.500000,I
NGA,1996-01-01,1996-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,35921.200000,I
NGA,1997-01-01,1997-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,40305.200000,I
NGA,1998-01-01,1998-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,39115.700000,I
NGA,1999-01-01,1999-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,46286.400000,I
NGA,2000-01-01,2000-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,48655.100000,I
NGA,2001-01-01,2001-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,62190.900000,I
NGA,2002-01-01,2002-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,78435.300000,I
NGA,2003-01-01,2003-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,74799.000000,I
NGA,2004-01-01,2004-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,65725.300000,I
NGA,2005-01-01,2005-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,74493.200000,I
NGA,2006-01-01,2006-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,81867.700000,I
NGA,2007-01-01,2007-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,74629.100000,I
NGA,2008-01-01,2008-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,114343.000000,I
NGA,2009-01-01,2009-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,61103.400000,I
NGA,2010-01-01,2010-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,72760.000000,A
NGA,2011-01-01,2011-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,68010.000000,A
NGA,2012-01-01,2012-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,75420.000000,A
NGA,2013-01-01,2013-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,71010.000000,A
NGA,2014-01-01,2014-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,72398.600000,I
NGA,2015-01-01,2015-12-31,159,'566,Nigeria,217,'01372,"Cashew nuts, in shell",5530,Producer Price (LCU/tonne),2015,2015,7021,Annual value,LCU,60963.800000,I
